CreditScore,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,Exited,Geography_Germany,Geography_Spain,Gender_Male,HasCrCard_Yes,IsActiveMember_Yes,Balance_v_Sal
661,35.0,5,113656.85,150725.53,2,0,1,0,0,1,1,1.3261455864736704
675,21.0,8,18203.0,98373.26,1,0,0,0,0,0,0,5.404233368126133
738,58.0,2,28373.86,133745.44,4,1,1,0,1,0,0,4.713685060827113
813,29.0,6,33953.87,0.0,1,0,0,0,1,0,0,0.0
657,37.0,0,44203.55,163607.18,1,0,0,1,0,1,1,3.701222639358151
604,25.0,5,58426.81,157780.84,2,0,1,0,0,1,1,2.7004869853411475
519,36.0,9,145562.4,0.0,2,0,0,0,1,1,1,0.0
735,21.0,1,22388.0,178718.19,2,0,0,0,0,0,0,7.982767107378953
664,55.0,8,139161.64,0.0,2,0,0,0,1,1,1,0.0
678,32.0,9,148210.64,0.0,1,0,0,0,0,1,1,0.0
757,33.0,5,194239.63,77253.22,1,0,0,1,1,1,1,0.39772120653236415
416,41.0,10,98301.61,122189.66,2,0,1,0,0,0,0,1.2430077187952466
665,34.0,1,171413.66,96645.54,2,0,0,0,0,0,0,0.5638146924813343
777,32.0,2,136458.19,0.0,1,1,0,0,0,0,0,0.0
543,36.0,3,26019.59,0.0,2,0,0,0,0,0,0,0.0
506,34.0,4,159235.29,90307.62,1,0,0,0,0,1,1,0.5671332026964625
493,46.0,4,1907.66,0.0,2,0,0,0,0,0,0,0.0
652,75.0,10,114675.75,0.0,2,0,0,1,0,1,1,0.0
750,22.0,3,128643.35,121681.82,1,1,0,1,1,0,0,0.945885037975146
729,30.0,9,151869.35,0.0,2,0,0,0,1,0,0,0.0
646,46.0,4,93251.42,0.0,3,1,0,0,0,0,0,0.0
635,28.0,3,156791.36,81623.67,2,0,1,0,0,1,1,0.520587805348458
647,44.0,5,174205.22,0.0,3,1,0,1,0,1,1,0.0
808,45.0,7,147132.46,118626.55,2,0,0,0,1,0,0,0.8062568246327154
524,36.0,10,109614.57,0.0,2,0,0,0,0,0,0,0.0
769,29.0,8,172290.61,0.0,2,0,0,0,1,1,1,0.0
730,42.0,4,85982.47,0.0,2,0,0,1,1,1,1,0.0
515,35.0,10,121277.78,176273.95,1,0,0,1,1,1,1,1.453472763106317
773,41.0,9,64595.25,102827.44,1,0,0,1,1,1,1,1.5918730866433677
814,29.0,8,197276.13,97086.4,2,0,1,0,1,1,1,0.4921345527205952
710,22.0,8,99645.04,0.0,2,0,0,1,1,0,0,0.0
413,34.0,9,6534.18,0.0,2,0,0,0,1,0,0,0.0
665,40.0,6,161848.03,0.0,1,0,0,0,0,1,1,0.0
623,44.0,6,167162.43,0.0,2,0,0,0,0,0,0,0.0
738,31.0,9,41970.72,82674.15,1,0,0,0,1,0,0,1.9698053786068
528,36.0,7,60536.56,0.0,2,0,0,1,1,0,0,0.0
670,65.0,1,177655.68,0.0,1,1,0,1,0,1,1,0.0
622,46.0,4,30984.59,107073.27,2,1,0,1,0,1,1,3.4556942660851733
582,32.0,1,10054.53,88938.62,1,0,1,0,1,1,1,8.845626797075546
785,36.0,2,36976.52,99806.85,1,0,1,0,0,1,1,2.699195327196827
605,33.0,5,71862.79,150092.8,1,0,0,1,1,0,0,2.0886024603275213
479,35.0,9,99449.86,92833.89,1,1,1,0,1,0,0,0.933474315599841
685,30.0,3,63082.88,90536.81,1,0,1,0,1,1,1,1.435204131453732
538,39.0,7,27231.26,108055.1,2,0,1,0,1,0,0,3.968053626604131
562,42.0,2,86797.41,100238.35,1,0,0,0,1,0,0,1.154854159818824
675,36.0,9,22994.32,106190.55,1,0,0,1,1,1,1,4.618120909859479
721,28.0,9,101300.94,154475.54,2,1,1,0,1,1,1,1.524917142920885
628,30.0,9,74169.13,132351.29,2,0,1,0,0,1,1,1.7844525073976194
668,37.0,6,115638.29,167864.4,1,0,1,0,0,0,0,1.4516333646926118
506,41.0,1,31766.3,0.0,2,0,0,0,0,0,0,0.0
524,31.0,8,199725.39,107818.63,1,1,1,0,0,0,0,0.5398343695811534
699,34.0,4,120834.48,185173.81,2,0,1,0,1,0,0,1.5324583678433508
828,34.0,8,38131.77,129433.34,2,0,0,0,1,0,0,3.394370101361673
674,37.0,6,100191.725,120193.42,1,0,0,1,1,0,0,1.1996342013275048
656,39.0,6,141069.88,0.0,2,0,0,0,0,0,0,0.0
684,48.0,10,198129.36,126384.42,1,0,1,0,0,1,1,0.6378883977619471
625,28.0,3,183646.41,0.0,1,0,0,0,0,0,0,0.0
432,42.0,9,110265.24,152603.45,1,1,0,0,1,0,0,1.3839669691010512
549,52.0,1,8636.05,0.0,1,1,0,0,0,1,1,0.0
625,56.0,0,46824.08,148507.24,1,1,1,0,1,0,0,3.17159974098797
828,41.0,7,171378.77,0.0,2,0,0,0,0,0,0,0.0
770,24.0,9,167256.35,101827.07,1,0,0,0,1,0,0,0.6088083950175883
758,34.0,3,124226.16,0.0,2,0,0,0,0,1,1,0.0
795,33.0,9,114935.21,130862.43,1,0,1,0,0,1,1,1.138575637526568
687,38.0,9,35608.88,122570.87,1,0,0,0,1,1,1,3.442143364239482
686,25.0,1,16459.37,0.0,2,0,0,0,1,1,1,0.0
789,39.0,7,124411.08,124828.46,2,0,1,0,1,1,1,1.003354845886717
589,50.0,5,34941.23,144895.05,2,0,1,0,0,1,1,4.146821677428069
461,34.0,5,167784.28,63663.93,1,0,1,0,0,1,1,0.3794391822642741
637,40.0,2,93165.34,133463.1,1,0,0,0,1,1,1,1.4325402558505127
584,48.0,2,75161.25,213146.2,1,1,0,1,0,0,0,2.835852250993697
579,35.0,1,8590.83,129490.36,2,1,0,1,0,1,1,15.073090725808798
756,44.0,10,189543.9,137452.09,1,0,1,0,1,0,0,0.7251728491394341
663,34.0,7,180427.24,0.0,2,0,0,0,1,1,1,0.0
682,43.0,5,193318.33,125851.93,1,0,0,0,0,1,1,0.6510087791468093
793,52.0,2,159123.82,0.0,1,1,0,1,1,0,0,0.0
691,31.0,5,126213.84,40915.55,1,1,0,0,0,0,0,0.32417641361676347
485,21.0,5,54141.5,113157.22,1,0,0,1,0,1,1,2.090027428128146
635,29.0,8,141075.51,138296.94,2,0,0,1,0,0,0,0.9803043774217084
650,37.0,5,24495.03,106967.18,1,0,0,0,1,0,0,4.36689320241698
735,44.0,9,74836.34,120681.63,1,0,0,0,1,0,0,1.612607324195705
416,32.0,0,878.87,0.0,2,0,0,0,1,1,1,0.0
754,32.0,7,89520.75,0.0,2,0,0,1,0,0,0,0.0
535,48.0,9,149892.79,0.0,1,1,0,0,0,0,0,0.0
716,42.0,8,180800.42,0.0,2,0,0,1,1,0,0,0.0
539,37.0,2,98646.22,127609.59,1,0,0,0,1,0,0,1.293608513331783
614,43.0,6,109041.53,0.0,2,0,0,0,0,1,1,0.0
706,57.0,7,17941.16,0.0,1,1,0,1,1,0,0,0.0
758,33.0,7,82996.47,0.0,2,0,0,0,0,0,0,0.0
586,28.0,2,92067.35,0.0,2,0,0,1,0,1,1,0.0
646,73.0,6,104719.66,97259.25,1,0,0,0,0,1,1,0.9287582675497609
631,33.0,4,112687.57,123246.7,1,0,1,0,0,0,0,1.0937027038563347
717,22.0,6,84699.56,101060.25,1,0,0,1,0,1,1,1.1931614520783815
684,30.0,2,83473.82,0.0,2,0,0,0,1,0,0,0.0
800,49.0,7,47125.11,108007.36,1,0,0,0,0,0,0,2.2919280188417597
721,36.0,2,106977.8,0.0,2,0,0,1,0,1,1,0.0
683,29.0,0,55582.54,133702.89,1,1,0,1,1,0,0,2.405483628491969
660,31.0,9,139874.43,125189.75,2,0,1,0,1,1,1,0.8950152647628306
704,24.0,7,162503.48,113034.22,1,1,1,0,0,0,0,0.6955803038802615
615,41.0,9,196499.96,109013.23,1,0,0,1,0,0,0,0.554774820310396
667,39.0,2,40721.24,0.0,2,1,0,1,0,0,0,0.0
682,24.0,9,53134.3,57929.81,2,0,1,0,1,0,0,1.0902526240112318
484,29.0,4,164017.89,130114.39,1,0,0,0,0,0,0,0.7932938900750399
628,27.0,5,155996.96,95826.49,2,0,1,0,1,0,0,0.6142843424641096
480,44.0,10,5472.7,129608.57,1,1,1,0,1,0,0,23.68274709010178
578,30.0,4,112187.11,169462.09,1,0,0,0,1,0,0,1.5105308444080607
512,40.0,5,146457.83,0.0,2,0,0,0,1,1,1,0.0
484,35.0,7,27286.1,133868.21,1,0,0,1,0,1,1,4.9060954112167
510,30.0,0,130553.47,0.0,2,0,0,0,0,1,1,0.0
606,36.0,5,179351.89,190479.48,2,0,1,0,1,0,0,1.0620433383779786
597,40.0,8,94774.12,101993.12,1,0,0,1,0,1,1,1.0761705832773758
754,55.0,3,8080.85,161608.81,1,1,1,0,0,0,0,19.998986492757567
850,45.0,2,19482.5,122311.21,1,0,0,1,0,1,1,6.2780038496086235
510,65.0,2,48071.61,0.0,2,0,0,0,1,1,1,0.0
778,45.0,1,174531.27,162150.42,2,0,1,0,0,0,0,0.929062282077017
636,42.0,2,55470.78,0.0,2,0,0,0,1,1,1,0.0
804,50.0,4,8546.87,0.0,1,1,0,0,0,1,1,0.0
514,32.0,8,95857.18,0.0,2,0,0,0,1,0,0,0.0
730,39.0,1,194945.8,99010.67,1,0,0,0,0,0,0,0.507888192512996
525,37.0,0,131521.72,0.0,1,0,0,1,0,1,1,0.0
616,30.0,5,196108.51,0.0,2,0,0,1,1,1,1,0.0
687,34.0,7,148564.76,111388.18,2,0,1,0,0,0,0,0.7497617873848413
715,41.0,8,92982.61,56214.85,2,1,0,0,0,0,0,0.6045738014882568
512,36.0,3,17675.36,84327.77,2,0,0,0,0,0,0,4.77092234613609
479,40.0,1,114996.43,0.0,2,0,0,0,1,0,0,0.0
601,32.0,8,86957.42,93012.89,1,0,0,0,1,0,0,1.0696371856478724
580,29.0,9,128077.8,61710.44,2,0,0,1,1,0,0,0.48181995630780666
807,35.0,3,600.36,174790.15,1,0,0,0,1,1,1,291.1422313278699
616,32.0,6,43001.46,0.0,2,0,0,1,0,1,1,0.0
721,37.0,3,158591.12,107720.64,1,0,1,0,1,1,1,0.6792350038261915
501,57.0,10,47847.19,0.0,2,0,0,0,1,1,1,0.0
521,35.0,6,10488.44,96423.84,1,0,0,0,1,0,0,9.19334429142942
850,30.0,2,5978.2,141040.01,1,0,0,1,1,1,1,23.592387340671106
759,42.0,4,121409.06,105420.18,1,0,0,0,1,1,1,0.8683057096397913
516,50.0,5,146145.93,0.0,1,1,0,1,1,1,1,0.0
711,38.0,2,14374.86,129022.06,2,1,0,0,0,1,1,8.975535066080644
512,33.0,3,94670.77,176666.62,1,0,0,1,1,0,0,1.8661158032199379
550,37.0,3,179670.31,0.0,1,0,0,0,1,1,1,0.0
608,41.0,3,199304.74,89763.84,1,1,0,1,0,0,0,0.4503848729337797
618,34.0,5,151954.39,134954.53,1,0,0,0,1,1,1,0.8881252460030934
643,45.0,5,142513.5,0.0,1,1,0,0,1,0,0,0.0
671,45.0,2,158264.62,106376.85,1,0,0,0,1,1,1,0.6721454864643785
689,33.0,2,169381.9,161814.64,2,0,1,0,1,0,0,0.9553242701847129
603,31.0,8,169915.02,0.0,2,0,0,0,1,1,1,0.0
620,41.0,9,88852.47,0.0,2,0,0,0,0,0,0,0.0
676,34.0,1,40645.81,63095.01,1,0,0,0,0,1,1,1.5523127722144054
572,26.0,4,60427.3,118287.01,2,0,1,0,1,0,0,1.9575094369597845
668,47.0,7,157959.02,106854.21,1,1,1,0,1,1,1,0.6764679218698623
695,46.0,7,133007.34,49512.55,1,0,0,0,1,0,0,0.37225426807272444
730,33.0,9,176576.62,0.0,2,0,0,1,0,0,0,0.0
807,43.0,1,34888.04,105799.32,2,1,0,0,1,0,0,3.0325383713157863
592,54.0,8,28737.71,0.0,1,1,0,0,1,1,1,0.0
726,31.0,9,98178.57,114722.05,2,0,0,0,0,1,1,1.1685039820808145
514,30.0,7,125010.24,0.0,1,0,0,1,1,1,1,0.0
567,42.0,2,167984.61,0.0,2,0,0,0,1,1,1,0.0
850,33.0,10,4861.72,0.0,1,1,0,0,1,0,0,0.0
671,45.0,6,108872.45,99564.22,1,1,1,0,1,1,1,0.9145033477247918
670,37.0,4,198252.88,170557.91,2,0,0,0,1,0,0,0.8603048288630157
694,30.0,9,26960.31,0.0,2,0,0,0,0,1,1,0.0
547,39.0,6,85746.52,74596.15,3,1,1,0,0,1,1,0.8699612532380322
751,50.0,2,77206.25,96888.39,1,1,1,0,1,0,0,1.2549293612887558
594,29.0,3,61048.53,130830.22,1,0,1,0,0,0,0,2.1430527483626554
673,72.0,1,111981.19,0.0,2,0,0,0,1,1,1,0.0
610,40.0,0,62232.6,0.0,2,0,0,0,1,0,0,0.0
512,37.0,1,156105.03,0.0,2,0,0,0,0,1,1,0.0
767,20.0,3,150135.38,119714.25,2,0,1,0,1,1,1,0.7973753421745094
585,67.0,5,93146.11,113978.97,2,0,0,0,0,1,1,1.2236578639730633
763,42.0,6,33462.94,100160.75,1,1,1,0,1,0,0,2.9931844004143087
712,29.0,2,144375.0,0.0,1,0,0,0,0,1,1,0.0
539,43.0,3,55803.96,116220.5,3,1,1,0,0,0,0,2.0826568580437663
668,46.0,2,89048.46,0.0,3,1,0,0,0,0,0,0.0
703,28.0,2,162812.16,81173.83,2,0,0,0,1,1,1,0.49857350949707935
662,38.0,4,136259.65,0.0,2,0,0,1,1,0,0,0.0
725,39.0,5,124052.97,116803.8,1,0,1,0,0,0,0,0.9415639141892371
703,37.0,8,74158.8,105961.68,2,0,0,0,1,1,1,1.4288483632421236
659,67.0,6,45071.09,117411.6,1,1,1,0,1,1,1,2.6050312961146496
523,34.0,7,62030.06,0.0,2,0,0,1,1,0,0,0.0
635,40.0,10,131953.23,123497.58,1,1,0,0,0,0,0,0.9359193405117858
772,26.0,7,79414.0,152400.51,2,0,1,0,1,0,0,1.9190635152492006
545,26.0,1,199638.56,0.0,2,0,0,0,0,1,1,0.0
634,24.0,8,157577.29,103097.85,1,0,1,0,1,1,1,0.6542684545469718
739,54.0,8,134420.75,126418.14,1,1,1,0,1,0,0,0.9404659622863285
771,36.0,5,99805.99,77846.9,1,0,1,0,0,0,0,0.7799822435507127
587,34.0,1,97932.68,0.0,2,0,0,1,0,1,1,0.0
681,79.0,0,170968.99,0.0,2,0,0,0,0,1,1,0.0
544,37.0,2,57558.95,79731.91,1,0,1,0,1,1,1,1.3852217596047185
696,28.0,8,176713.47,0.0,1,0,0,1,1,0,0,0.0
766,41.0,0,34283.23,0.0,2,0,0,1,1,1,1,0.0
727,34.0,10,198637.34,0.0,2,0,0,0,1,1,1,0.0
671,34.0,6,156917.12,37266.67,2,0,1,0,0,0,0,0.23749269678158763
693,30.0,6,50457.2,127992.25,1,0,0,0,0,1,1,2.536649873556202
850,38.0,3,140075.55,54901.01,1,0,1,0,1,1,1,0.39193856458175613
732,42.0,9,65323.11,108748.08,2,0,1,0,1,1,1,1.664771931403756
726,48.0,6,64323.24,99906.19,1,0,0,1,0,0,0,1.5531896403228445
557,32.0,6,14956.44,184686.41,2,0,0,0,0,0,0,12.348286758078794
682,26.0,0,111879.21,110654.02,1,0,0,0,0,1,1,0.9890489931060471
738,31.0,9,18606.23,79019.8,1,0,0,1,1,1,1,4.246953842879509
531,36.0,9,123137.01,99240.51,1,0,0,1,0,0,0,0.80593568091348
498,34.0,2,148528.24,0.0,2,0,0,0,1,1,1,0.0
651,36.0,7,13898.31,0.0,2,0,0,0,1,0,0,0.0
549,39.0,7,81259.25,0.0,1,1,0,1,0,0,0,0.0
791,35.0,7,161051.75,52436.2,1,0,1,0,0,0,0,0.32558603057712815
650,41.0,9,191599.67,0.0,2,0,0,1,1,1,1,0.0
733,34.0,3,48559.19,100337.96,3,1,1,0,1,0,0,2.0663021767867216
811,34.0,1,186339.74,149297.19,2,0,1,0,0,1,1,0.8012096077841474
707,30.0,8,33159.37,0.0,2,0,0,0,1,0,0,0.0
712,28.0,4,93883.53,145605.44,1,0,1,0,1,1,1,1.5509156930933468
706,37.0,7,110899.3,0.0,2,0,0,1,0,1,1,0.0
756,62.0,3,11199.04,0.0,1,1,0,0,1,1,1,0.0
777,53.0,10,189992.97,0.0,2,0,0,0,0,0,0,0.0
646,35.0,6,164255.69,84026.86,1,0,0,0,1,1,1,0.5115613346484374
714,46.0,1,152167.79,0.0,1,1,0,0,1,0,0,0.0
782,39.0,8,33949.67,0.0,2,0,0,0,1,1,1,0.0
775,29.0,10,68143.93,0.0,2,0,0,1,1,1,1,0.0
479,35.0,4,47251.79,138718.92,1,1,1,0,1,1,1,2.9357389423765747
807,42.0,7,25885.72,118274.71,1,0,0,0,1,1,1,4.569110304832162
799,22.0,8,192633.85,174185.98,2,0,0,0,0,1,1,0.9042334979028868
675,40.0,7,34577.36,113208.86,2,0,0,0,1,0,0,3.274074712470819
602,29.0,5,161229.84,103907.28,1,0,0,1,1,0,0,0.6444668058964768
475,32.0,8,100816.29,119023.28,1,0,0,0,0,0,0,1.1805957152360993
744,26.0,5,181694.44,166297.89,1,0,0,1,0,1,1,0.915261303537962
588,34.0,10,79078.91,0.0,2,0,0,1,1,0,0,0.0
703,42.0,9,137316.32,63227.0,1,0,1,0,1,1,1,0.4604478185841275
747,41.0,5,194926.86,94521.17,2,0,0,1,0,0,0,0.48490582570303553
583,27.0,7,51285.49,0.0,2,0,0,0,1,0,0,0.0
750,34.0,9,150401.53,112822.26,1,1,0,1,0,0,0,0.7501403742368844
681,38.0,3,112491.96,0.0,2,0,0,0,1,1,1,0.0
773,25.0,2,73656.38,135903.33,1,0,0,0,1,0,0,1.8450992296933406
714,31.0,4,106636.89,125169.26,1,0,0,0,0,1,1,1.1737894831704112
687,44.0,7,155853.52,0.0,3,1,0,1,0,0,0,0.0
511,58.0,0,162599.51,149117.31,1,0,0,0,1,1,1,0.9170833909647083
627,33.0,5,103737.82,0.0,2,0,0,0,1,1,1,0.0
694,31.0,10,160990.27,0.0,2,0,0,0,0,0,0,0.0
616,36.0,6,15462.84,132311.71,1,0,0,1,0,0,0,8.55675348124924
687,35.0,8,10334.05,0.0,2,0,0,0,1,0,0,0.0
712,33.0,6,190686.16,0.0,2,0,0,0,0,1,1,0.0
553,33.0,4,94440.45,118082.89,1,0,0,0,1,0,0,1.2503423056539862
667,31.0,1,28257.63,119266.69,1,0,0,0,1,1,1,4.220689774761719
731,43.0,2,170034.95,0.0,1,1,0,0,1,1,1,0.0
629,35.0,7,31824.29,156847.29,2,0,1,0,1,0,0,4.928540118255584
614,50.0,4,127166.49,137104.47,1,1,0,0,1,0,0,1.0781493615181168
438,31.0,8,44937.01,78398.69,1,0,1,0,1,0,0,1.7446352127121942
652,80.0,4,188603.07,0.0,2,0,0,0,0,1,1,0.0
729,30.0,6,145111.37,63669.42,1,0,1,0,1,0,0,0.4387624484559687
642,38.0,3,171463.83,0.0,2,0,0,0,1,0,0,0.0
806,59.0,0,182822.5,135296.33,1,0,1,0,0,0,0,0.7400420079585389
744,36.0,2,87213.33,153804.44,1,0,0,1,1,1,1,1.7635427978727565
474,37.0,3,57175.32,0.0,2,0,0,1,1,0,0,0.0
559,49.0,2,120540.83,147069.78,1,1,0,0,1,0,0,1.2200826889942602
706,42.0,9,28714.34,0.0,2,0,0,1,1,1,1,0.0
628,22.0,3,85426.28,0.0,1,0,0,1,0,0,0,0.0
429,24.0,4,46170.75,95741.75,1,0,0,0,1,0,0,2.0736451108114986
525,57.0,2,64448.36,145965.33,1,0,0,1,0,1,1,2.264841649965957
680,30.0,8,16278.97,141441.75,1,0,0,0,0,1,1,8.688617891672507
749,40.0,1,182855.42,139290.41,1,1,0,0,1,0,0,0.7617516068159205
763,31.0,4,50404.72,0.0,2,0,0,0,0,0,0,0.0
734,30.0,3,107640.25,0.0,2,0,0,0,1,0,0,0.0
716,35.0,4,134132.65,144428.87,1,0,0,0,1,0,0,1.0767614745552259
594,35.0,2,103480.69,0.0,2,0,0,0,1,0,0,0.0
644,46.0,9,108761.05,95441.27,1,1,0,0,0,0,0,0.8775317082724008
671,35.0,1,179012.3,144848.74,1,0,1,0,1,1,1,0.8091552368189225
664,26.0,7,95145.14,116244.14,2,0,1,0,1,1,1,1.221755940450558
656,50.0,7,72143.44,0.0,2,0,0,0,1,1,1,0.0
667,40.0,1,19162.89,146502.07,1,0,0,1,0,0,0,7.645092676522174
663,44.0,2,144680.18,117028.6,2,0,1,0,1,1,1,0.8088778988248426
584,30.0,8,177772.03,112013.81,1,1,1,0,0,0,0,0.6300980531076795
626,37.0,6,5597.94,108269.37,1,0,0,1,0,0,0,19.340930770962174
485,29.0,7,116828.51,182123.79,1,1,0,0,1,0,0,1.5588985085917815
659,32.0,3,174652.51,150923.74,2,0,1,0,0,1,1,0.8641372517348876
649,33.0,2,2010.98,0.0,2,0,0,0,1,0,0,0.0
805,39.0,5,14109.85,165272.13,1,1,0,1,0,0,0,11.713245002604564
716,39.0,10,43527.4,115301.31,1,1,1,0,0,0,0,2.648936302191263
642,40.0,6,86099.23,129502.49,2,1,1,0,0,1,1,1.504107411878132
659,31.0,4,161574.19,118342.26,1,0,0,0,1,0,0,0.7324329461283389
545,47.0,5,38970.14,0.0,2,0,0,1,0,1,1,0.0
543,22.0,8,127587.22,0.0,2,0,0,0,1,0,0,0.0
718,25.0,7,30380.12,0.0,2,0,0,0,0,0,0,0.0
840,43.0,7,90908.95,0.0,2,0,0,0,0,0,0,0.0
630,34.0,9,138275.01,106937.05,2,0,1,0,0,0,0,0.7733649775183528
643,59.0,3,32171.79,170331.37,1,0,1,0,1,1,1,5.294432482619089
654,32.0,1,126143.23,114510.85,1,0,1,0,0,1,1,0.907784349584199
582,39.0,5,129892.93,0.0,2,0,0,0,1,1,1,0.0
659,32.0,3,102416.84,107594.11,2,0,0,1,1,1,1,1.0505509640797355
762,39.0,2,18719.67,81273.13,1,0,0,1,1,1,1,4.341589889138004
568,32.0,7,61936.22,169399.6,1,0,0,1,0,0,0,2.7350652009438097
670,25.0,6,78358.94,0.0,2,0,0,1,1,1,1,0.0
613,45.0,1,147224.27,187841.99,2,0,0,0,0,1,1,1.2758901096945496
539,30.0,0,160979.66,0.0,2,0,0,0,1,0,0,0.0
850,57.0,8,132298.49,126776.3,2,0,0,1,0,1,1,0.9582596143009645
522,34.0,9,174248.52,126436.29,1,1,0,1,1,0,0,0.7256089750432314
